Entry	Protein names	Length	Helix	Beta strand	Interacts with
O43181	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)	175	HELIX 69..74; /evidence="ECO:0007829|PDB:5XTB"; HELIX 120..123; /evidence="ECO:0007829|PDB:5XTB"; HELIX 131..141; /evidence="ECO:0007829|PDB:5XTB"; HELIX 161..163; /evidence="ECO:0007829|PDB:5XTB"	STRAND 76..80; /evidence="ECO:0007829|PDB:5XTB"; STRAND 86..88; /evidence="ECO:0007829|PDB:5XTB"; STRAND 95..101; /evidence="ECO:0007829|PDB:5XTB"; STRAND 106..108; /evidence="ECO:0007829|PDB:5XTB"; STRAND 115..118; /evidence="ECO:0007829|PDB:5XTB"; STRAND 125..130; /evidence="ECO:0007829|PDB:5XTB"	
O43196	MutS protein homolog 5 (hMSH5)	834			P00519; O15457; P50570-2; Q8TB36; P51608; Q16637; O14656-2; P28799; P42858; I6L9F6; O43933; O76024
O43237	Cytoplasmic dynein 1 light intermediate chain 2 (Dynein light intermediate chain 2, cytosolic) (LIC-2) (LIC53/55)	492	HELIX 39..45; /evidence="ECO:0007829|PDB:6F1Y"; HELIX 67..74; /evidence="ECO:0007829|PDB:6F1Y"; HELIX 116..120; /evidence="ECO:0007829|PDB:6F1Y"; HELIX 142..163; /evidence="ECO:0007829|PDB:6F1Y"; HELIX 169..181; /evidence="ECO:0007829|PDB:6F1Y"; HELIX 237..243; /evidence="ECO:0007829|PDB:6F1Y"; HELIX 248..265; /evidence="ECO:0007829|PDB:6F1Y"; HELIX 280..288; /evidence="ECO:0007829|PDB:6F1Y"; HELIX 319..323; /evidence="ECO:0007829|PDB:6F1Y"; HELIX 336..339; /evidence="ECO:0007829|PDB:6F1Y"; HELIX 359..372; /evidence="ECO:0007829|PDB:7Z8I"; HELIX 427..438; /evidence="ECO:0007829|PDB:7Z8I"	STRAND 55..60; /evidence="ECO:0007829|PDB:6F1Y"; STRAND 83..85; /evidence="ECO:0007829|PDB:6F1Y"; STRAND 89..93; /evidence="ECO:0007829|PDB:6F1Y"; STRAND 96..98; /evidence="ECO:0007829|PDB:6F1Y"; STRAND 102..106; /evidence="ECO:0007829|PDB:6F1Y"; STRAND 128..135; /evidence="ECO:0007829|PDB:6F1Y"; STRAND 139..141; /evidence="ECO:0007829|PDB:6F1Y"; STRAND 164..166; /evidence="ECO:0007829|PDB:6F1Y"; STRAND 184..186; /evidence="ECO:0007829|PDB:6F1Y"; STRAND 225..230; /evidence="ECO:0007829|PDB:6F1Y"; STRAND 303..307; /evidence="ECO:0007829|PDB:6F1Y"; STRAND 326..328; /evidence="ECO:0007829|PDB:6F1Y"	P63172
O43264	Centromere/kinetochore protein zw10 homolog	779			Q6NUQ1; O95229
O43294	Transforming growth factor beta-1-induced transcript 1 protein (Androgen receptor coactivator 55 kDa protein) (Androgen receptor-associated protein of 55 kDa) (Hydrogen peroxide-inducible clone 5 protein) (Hic-5)	461			Q05397; Q9BUZ4; O68743
O43310	CBP80/20-dependent translation initiation factor	598			Q8N5M1; Q9NUU7; Q9UMR2; Q96MH2; Q86VS8; A9UHW6-2; Q6P9E2; Q9NZD8
O43323	Desert hedgehog protein (DHH) (EC 3.1.-.-) (HHG-3) [Cleaved into: Desert hedgehog protein N-product (DHH-N)]	396	HELIX 73..76; /evidence="ECO:0007829|PDB:2WFQ"; HELIX 95..97; /evidence="ECO:0007829|PDB:2WFQ"; HELIX 101..117; /evidence="ECO:0007829|PDB:2WFQ"; HELIX 140..143; /evidence="ECO:0007829|PDB:2WFQ"; HELIX 156..158; /evidence="ECO:0007829|PDB:2WFQ"; HELIX 159..168; /evidence="ECO:0007829|PDB:2WFQ"; HELIX 192..195; /evidence="ECO:0007829|PDB:2WFQ"	STRAND 48..52; /evidence="ECO:0007829|PDB:2WFQ"; STRAND 85..87; /evidence="ECO:0007829|PDB:2WFQ"; STRAND 92..94; /evidence="ECO:0007829|PDB:2WFQ"; STRAND 123..127; /evidence="ECO:0007829|PDB:2WFQ"; STRAND 146..151; /evidence="ECO:0007829|PDB:2WFQ"; STRAND 172..178; /evidence="ECO:0007829|PDB:2WFQ"; STRAND 181..185; /evidence="ECO:0007829|PDB:2WFQ"	Q9BWV1; Q4KMG0; Q96QV1-1
O43395	U4/U6 small nuclear ribonucleoprotein Prp3 (Pre-mRNA-splicing factor 3) (hPrp3) (U4/U6 snRNP 90 kDa protein)	683	HELIX 5..23; /evidence="ECO:0007829|PDB:1X4Q"; HELIX 28..39; /evidence="ECO:0007829|PDB:1X4Q"; HELIX 44..51; /evidence="ECO:0007829|PDB:1X4Q"; HELIX 56..58; /evidence="ECO:0007829|PDB:1X4Q"; HELIX 60..73; /evidence="ECO:0007829|PDB:1X4Q"; HELIX 389..394; /evidence="ECO:0007829|PDB:8Q7N"; HELIX 442..465; /evidence="ECO:0007829|PDB:8Q7N"; HELIX 481..484; /evidence="ECO:0007829|PDB:8Q7N"; HELIX 486..491; /evidence="ECO:0007829|PDB:8Q7N"; HELIX 493..518; /evidence="ECO:0007829|PDB:8Q7N"; HELIX 522..534; /evidence="ECO:0007829|PDB:8Q7N"; HELIX 554..566; /evidence="ECO:0007829|PDB:8Q7N"; HELIX 588..600; /evidence="ECO:0007829|PDB:8Q7N"; HELIX 654..664; /evidence="ECO:0007829|PDB:8Q7N"; HELIX 667..682; /evidence="ECO:0007829|PDB:8Q7N"	STRAND 416..418; /evidence="ECO:0007829|PDB:8Q7N"; STRAND 541..549; /evidence="ECO:0007829|PDB:8Q7N"; STRAND 570..575; /evidence="ECO:0007829|PDB:8Q7N"; STRAND 580..586; /evidence="ECO:0007829|PDB:8Q7N"; STRAND 630..640; /evidence="ECO:0007829|PDB:8Q7N"; STRAND 647..650; /evidence="ECO:0007829|PDB:8Q7N"	Q9BWT7; Q86Z20; Q8NHQ1; Q92997; Q8IZU0; A0A0C3SFZ9; Q08379; Q96D09; O75031; Q9Y4Z0; P62312; Q9Y250; P55081; Q9UJV3-2; Q96RE7; Q8N5F7; Q6ZUT1; Q9H4L5; Q8IXK0-5; P78356-2; O43395; O43172; O94906; O43242; Q15276; Q2KHN1; O43290; Q15020; Q15428; Q13435; Q8TBC3; O95391; O75940; P63162; Q9Y2D8; Q9HCM9; Q9HCM9-2; Q6FI91; P40222; P26368; P26368-2; Q8WW38; Q9UGI0
O43439	Protein CBFA2T2 (ETO homologous on chromosome 20) (MTG8-like protein) (MTG8-related protein 1) (Myeloid translocation-related protein 1) (p85)	604			Q99750; Q9P0J1; Q9GZV8; P17987; O95429; Q9Y592-2; Q9BVG8-5; Q52LG2; P43360; Q9BSU1; Q9GZV8; Q9NQX0; Q9BRV8; O60504; P15884-3; Q96GY0
O43464	Serine protease HTRA2, mitochondrial (EC 3.4.21.108) (High temperature requirement protein A2) (HtrA2) (Omi stress-regulated endoprotease) (Serine protease 25) (Serine proteinase OMI)	458	HELIX 143..147; /evidence="ECO:0007829|PDB:5M3N"; HELIX 149..157; /evidence="ECO:0007829|PDB:5M3N"; HELIX 158..160; /evidence="ECO:0007829|PDB:5M3N"; HELIX 198..200; /evidence="ECO:0007829|PDB:5M3N"; HELIX 248..250; /evidence="ECO:0007829|PDB:5M3N"; HELIX 335..342; /evidence="ECO:0007829|PDB:5M3N"; HELIX 371..380; /evidence="ECO:0007829|PDB:5M3N"; HELIX 401..405; /evidence="ECO:0007829|PDB:5M3N"; HELIX 424..433; /evidence="ECO:0007829|PDB:5M3N"	STRAND 161..170; /evidence="ECO:0007829|PDB:5M3N"; STRAND 175..188; /evidence="ECO:0007829|PDB:5M3N"; STRAND 192..195; /evidence="ECO:0007829|PDB:5M3N"; STRAND 204..209; /evidence="ECO:0007829|PDB:5M3N"; STRAND 211..213; /evidence="ECO:0007829|PDB:5TO0"; STRAND 215..224; /evidence="ECO:0007829|PDB:5M3N"; STRAND 229..233; /evidence="ECO:0007829|PDB:5M3N"; STRAND 256..259; /evidence="ECO:0007829|PDB:5M3N"; STRAND 265..268; /evidence="ECO:0007829|PDB:5FHT"; STRAND 271..275; /evidence="ECO:0007829|PDB:5M3N"; STRAND 295..299; /evidence="ECO:0007829|PDB:5M3N"; STRAND 308..311; /evidence="ECO:0007829|PDB:5M3N"; STRAND 317..326; /evidence="ECO:0007829|PDB:5M3N"; STRAND 329..334; /evidence="ECO:0007829|PDB:5M3N"; STRAND 359..361; /evidence="ECO:0007829|PDB:5M3N"; STRAND 364..368; /evidence="ECO:0007829|PDB:5M3N"; STRAND 382..384; /evidence="ECO:0007829|PDB:5WYN"; STRAND 391..396; /evidence="ECO:0007829|PDB:5M3N"; STRAND 412..416; /evidence="ECO:0007829|PDB:5M3N"; STRAND 435..443; /evidence="ECO:0007829|PDB:5M3N"; STRAND 446..452; /evidence="ECO:0007829|PDB:5M3N"; STRAND 455..457; /evidence="ECO:0007829|PDB:5M3N"	Q6ZTN6-2; Q8IUR7; Q86TN1; Q9Y575-3; Q96DX5-3; Q96FT7-4; Q13490; Q96CA5; Q7Z7K6; P02489; Q5TAQ9-2; O00303; Q8TC29; Q13216-2; Q99871; Q02363; Q8IY31-2; Q8N5Z5; Q6P597; P57682; Q9Y2M5; P08727; Q14525; Q1L5Z9; Q99683; Q8NA82; Q8N594; Q8WY64; Q9P0J0; Q13562; O15381-5; Q96FW1; Q6GQQ9-2; Q9NUU6; Q9HBE1-4; Q9NV79; O14813; O75925; Q8WWB5; Q96T49; Q6ZMI0-5; P17980; P57052; Q8WVD3; Q96D59; Q15287; Q96GQ5; Q8N488; Q8N6K7-2; Q9NR46; Q96GM5; Q16637-3; Q8WXH5; Q5VWN6; Q86WV5; O95150; Q6DKK2; Q495M9; O75604-3; Q8NEZ2; Q15007-2; O00308; P98170; P24278; Q9UNY5; Q8N0Y2-2; O60304; O15535; Q86V28; P02666; Q60855; P02666
O43474	Krueppel-like factor 4 (Epithelial zinc finger protein EZF) (Gut-enriched krueppel-like factor)	513	HELIX 444..455; /evidence="ECO:0007829|PDB:6VTX"; HELIX 474..485; /evidence="ECO:0007829|PDB:6VTX"; HELIX 502..510; /evidence="ECO:0007829|PDB:6VTX"	STRAND 434..436; /evidence="ECO:0007829|PDB:6VTX"; STRAND 470..473; /evidence="ECO:0007829|PDB:6VTX"; STRAND 493..496; /evidence="ECO:0007829|PDB:6VTX"; STRAND 498..501; /evidence="ECO:0007829|PDB:6VTX"	Q13363; Q92997; P13807; O14964; O75031; O95983; Q96JP2; P55771; Q08117-2
O43521	Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death)	198	HELIX 144..165; /evidence="ECO:0007829|PDB:6X8O"	STRAND 112..115; /evidence="ECO:0007829|PDB:1F95"	Q92934; Q07812; P10415; Q16548; Q07817; Q07817-1; Q9HD36; Q92843; Q86UW9; P43364-2; Q07820; Q13064; P07237; P40855; P63244; Q9UHD9; Q8N6Y0; Q07813-1; Q07440; P97287; P03495; P68451; P10415; Q07817-1; Q9HD36; P10415; P14174
O43525	Potassium voltage-gated channel subfamily KQT member 3 (KQT-like 3) (Potassium channel subunit alpha KvLQT3) (Voltage-gated potassium channel subunit Kv7.3)	872	HELIX 373..386; /evidence="ECO:0007829|PDB:5J03"; HELIX 397..403; /evidence="ECO:0007829|PDB:5J03"		
O43526	Potassium voltage-gated channel subfamily KQT member 2 (KQT-like 2) (Neuroblastoma-specific potassium channel subunit alpha KvLQT2) (Voltage-gated potassium channel subunit Kv7.2)	872	HELIX 71..85; /evidence="ECO:0007829|PDB:8X43"; HELIX 92..114; /evidence="ECO:0007829|PDB:8X43"; HELIX 119..147; /evidence="ECO:0007829|PDB:8X43"; HELIX 148..150; /evidence="ECO:0007829|PDB:8X43"; HELIX 156..164; /evidence="ECO:0007829|PDB:8X43"; HELIX 167..181; /evidence="ECO:0007829|PDB:8X43"; HELIX 196..210; /evidence="ECO:0007829|PDB:8X43"; HELIX 216..227; /evidence="ECO:0007829|PDB:8X43"; HELIX 229..254; /evidence="ECO:0007829|PDB:8X43"; HELIX 259..261; /evidence="ECO:0007829|PDB:8IJK"; HELIX 264..275; /evidence="ECO:0007829|PDB:8X43"; HELIX 288..304; /evidence="ECO:0007829|PDB:7CR2"; HELIX 324..333; /evidence="ECO:0007829|PDB:5J03"; HELIX 357..367; /evidence="ECO:0007829|PDB:6FEG"; HELIX 539..559; /evidence="ECO:0007829|PDB:8X43"; HELIX 564..594; /evidence="ECO:0007829|PDB:8X43"	STRAND 152..154; /evidence="ECO:0007829|PDB:7CR2"; STRAND 212..214; /evidence="ECO:0007829|PDB:8X43"; STRAND 281..283; /evidence="ECO:0007829|PDB:8X43"; STRAND 353..356; /evidence="ECO:0007829|PDB:6FEH"; STRAND 368..370; /evidence="ECO:0007829|PDB:6FEG"	Q8NBJ4
O43529	Carbohydrate sulfotransferase 10 (EC 2.8.2.-) (HNK-1 sulfotransferase) (HNK-1ST) (HNK1ST) (HuHNK-1ST)	356			
O43543	DNA repair protein XRCC2 (X-ray repair cross-complementing protein 2)	280	HELIX 24..27; /evidence="ECO:0007829|PDB:8OUZ"; HELIX 54..66; /evidence="ECO:0007829|PDB:8OUZ"; HELIX 69..71; /evidence="ECO:0007829|PDB:8OUZ"; HELIX 89..99; /evidence="ECO:0007829|PDB:8OUZ"; HELIX 105..112; /evidence="ECO:0007829|PDB:8OUZ"; HELIX 123..139; /evidence="ECO:0007829|PDB:8OUZ"; HELIX 155..162; /evidence="ECO:0007829|PDB:8OUZ"; HELIX 166..169; /evidence="ECO:0007829|PDB:8OUZ"; HELIX 171..186; /evidence="ECO:0007829|PDB:8OUZ"; HELIX 229..232; /evidence="ECO:0007829|PDB:8OUZ"	STRAND 40..48; /evidence="ECO:0007829|PDB:8OUZ"; STRAND 50..53; /evidence="ECO:0007829|PDB:8OUY"; STRAND 77..85; /evidence="ECO:0007829|PDB:8OUZ"; STRAND 100..102; /evidence="ECO:0007829|PDB:8GBJ"; STRAND 115..119; /evidence="ECO:0007829|PDB:8OUZ"; STRAND 143..149; /evidence="ECO:0007829|PDB:8OUZ"; STRAND 190..196; /evidence="ECO:0007829|PDB:8OUZ"; STRAND 237..243; /evidence="ECO:0007829|PDB:8OUZ"; STRAND 253..259; /evidence="ECO:0007829|PDB:8OUZ"; STRAND 265..273; /evidence="ECO:0007829|PDB:8OUZ"; STRAND 276..279; /evidence="ECO:0007829|PDB:8OUZ"	P50222; O43502; O75771
O43548	Protein-glutamine gamma-glutamyltransferase 5 (EC 2.3.2.13) (Transglutaminase X) (TG(X)) (TGX) (TGase X) (Transglutaminase-5) (TGase-5)	720			P55212; Q14451-3; O00291; Q63ZY3; P13473-2; Q6P4E2; P47929; O75400-2; Q96IZ5
O43556	Epsilon-sarcoglycan (Epsilon-SG)	437			
O43566	Regulator of G-protein signaling 14 (RGS14)	566	HELIX 61..65; /evidence="ECO:0007829|PDB:2JNU"; HELIX 68..73; /evidence="ECO:0007829|PDB:2JNU"; HELIX 75..84; /evidence="ECO:0007829|PDB:2JNU"; HELIX 92..105; /evidence="ECO:0007829|PDB:2JNU"; HELIX 111..125; /evidence="ECO:0007829|PDB:2JNU"; HELIX 144..148; /evidence="ECO:0007829|PDB:2JNU"; HELIX 156..167; /evidence="ECO:0007829|PDB:2JNU"; HELIX 170..174; /evidence="ECO:0007829|PDB:2JNU"; HELIX 180..184; /evidence="ECO:0007829|PDB:2JNU"; HELIX 499..509; /evidence="ECO:0007829|PDB:2OM2"; HELIX 529..531; /evidence="ECO:0007829|PDB:2OM2"	STRAND 87..89; /evidence="ECO:0007829|PDB:2JNU"; STRAND 517..519; /evidence="ECO:0007829|PDB:2OM2"	P63096; P08754; Q9BSI4
O43581	Synaptotagmin-7 (IPCA-7) (Prostate cancer-associated protein 7) (Synaptotagmin VII) (SytVII)	403	HELIX 211..214; /evidence="ECO:0007829|PDB:2D8K"	STRAND 138..145; /evidence="ECO:0007829|PDB:2D8K"; STRAND 147..149; /evidence="ECO:0007829|PDB:2D8K"; STRAND 152..161; /evidence="ECO:0007829|PDB:2D8K"; STRAND 166..169; /evidence="ECO:0007829|PDB:2D8K"; STRAND 173..181; /evidence="ECO:0007829|PDB:2D8K"; STRAND 184..188; /evidence="ECO:0007829|PDB:2D8K"; STRAND 202..206; /evidence="ECO:0007829|PDB:2D8K"; STRAND 217..225; /evidence="ECO:0007829|PDB:2D8K"; STRAND 228..231; /evidence="ECO:0007829|PDB:2D8K"; STRAND 233..241; /evidence="ECO:0007829|PDB:2D8K"; STRAND 251..255; /evidence="ECO:0007829|PDB:2D8K"	Q8IUQ4
O43593	Lysine-specific demethylase hairless (EC 1.14.11.65) ([histone H3]-dimethyl-L-lysine(9) demethylase hairless)	1189			Q8NFV4-4; Q5BKX5-3; Q9Y4X0-3; Q9Y6H3; Q9H5F2; Q9BYD5; A8MQ03; Q92567-2; P57678; P49639; Q0VD86; Q9BS75; Q8IUC1; Q52LG2; Q3LI76; Q9BYR8; Q9BYR6; Q3LI67; O15496; P10745; Q99932-2; O43610; Q86WV8; Q9H0C1
O43598	5-hydroxymethyl-dUMP N-hydrolase (EC 3.2.2.-) (2'-deoxynucleoside 5'-phosphate N-hydrolase 1) (c-Myc-responsive protein RCL)	174	HELIX 36..46; /evidence="ECO:0007829|PDB:4P5E"; HELIX 55..58; /evidence="ECO:0007829|PDB:4P5E"; HELIX 63..65; /evidence="ECO:0007829|PDB:8RPT"; HELIX 73..86; /evidence="ECO:0007829|PDB:4P5E"; HELIX 99..110; /evidence="ECO:0007829|PDB:4P5E"; HELIX 121..123; /evidence="ECO:0007829|PDB:4P5E"; HELIX 129..134; /evidence="ECO:0007829|PDB:4P5E"; HELIX 147..149; /evidence="ECO:0007829|PDB:4P5E"; HELIX 150..160; /evidence="ECO:0007829|PDB:4P5E"	STRAND 22..26; /evidence="ECO:0007829|PDB:4P5E"; STRAND 50..53; /evidence="ECO:0007829|PDB:4P5E"; STRAND 88..93; /evidence="ECO:0007829|PDB:4P5E"; STRAND 115..119; /evidence="ECO:0007829|PDB:4P5E"; STRAND 137..144; /evidence="ECO:0007829|PDB:4P5E"	Q96D03; O43598; Q92993; Q8TAP4-4; P17252; Q15047-2; P54274; P61981
O43603	Galanin receptor type 2 (GAL2-R) (GALR-2)	387	HELIX 27..51; /evidence="ECO:0007829|PDB:7WQ4"; HELIX 59..87; /evidence="ECO:0007829|PDB:7WQ4"; HELIX 96..99; /evidence="ECO:0007829|PDB:7WQ4"; HELIX 101..128; /evidence="ECO:0007829|PDB:7WQ4"; HELIX 139..157; /evidence="ECO:0007829|PDB:7WQ4"; HELIX 160..163; /evidence="ECO:0007829|PDB:7WQ4"; HELIX 181..195; /evidence="ECO:0007829|PDB:7WQ4"; HELIX 197..214; /evidence="ECO:0007829|PDB:7WQ4"; HELIX 225..248; /evidence="ECO:0007829|PDB:7WQ4"; HELIX 250..261; /evidence="ECO:0007829|PDB:7WQ4"; HELIX 268..292; /evidence="ECO:0007829|PDB:7WQ4"; HELIX 297..300; /evidence="ECO:0007829|PDB:7WQ4"; HELIX 303..306; /evidence="ECO:0007829|PDB:7WQ4"	STRAND 52..54; /evidence="ECO:0007829|PDB:7WQ4"; STRAND 88..90; /evidence="ECO:0007829|PDB:7WQ4"; STRAND 164..169; /evidence="ECO:0007829|PDB:7WQ4"; STRAND 172..176; /evidence="ECO:0007829|PDB:7WQ4"	PRO_0000010449 [P22466]
O43609	Protein sprouty homolog 1 (Spry-1)	319			O43184-4; Q6UY14-3; X5D778; Q2TAC2-2; Q86X02; Q9H2X0; Q02930-3; A8MQ03; O95363; P23142-4; Q5TD97; P57678; Q9Y223-2; Q96NT3-2; Q96MH2; P49639; O75031; Q0VD86; Q5T749; Q15323; Q07627; Q8IUG1; P60412; P60370; P60409; P60410; P60411; Q8IUC1; P59991; P60328; Q9BYR7; Q9BQ66; Q9BYR5; P26371; Q9BYQ4; Q9BYQ3; Q5T7P2; Q5T7P3; Q5T751; Q5T752; Q5T754; Q5TA79; Q5TA81; Q5TA82; Q5TA76; Q5T5A8; Q9BYE3; Q5TA78; Q5TCM9; Q8IYB1; Q99750; P50222; Q6FHY5; Q7Z3S9; P0DPK4; Q9P121-3; P32242; Q92824-2; O15160; P54646; O43741; Q9Y2K5-2; Q04864-2; P49901; O43597; Q7Z6R9; Q96PF1; P57075-2; Q2TAL6; P17027; Q9Y3S2; Q8TAU3; Q8N8Z8; Q96EG3; P09022
O43715	TP53-regulated inhibitor of apoptosis 1 (Protein 15E1.1) (WF-1) (p53-inducible cell-survival factor) (p53CSV)	76	HELIX 6..8; /evidence="ECO:0007829|PDB:6I3V"; HELIX 9..25; /evidence="ECO:0007829|PDB:6I3V"; HELIX 27..29; /evidence="ECO:0007829|PDB:6I3V"; HELIX 38..54; /evidence="ECO:0007829|PDB:6I3V"; HELIX 64..66; /evidence="ECO:0007829|PDB:6I3V"	STRAND 34..37; /evidence="ECO:0007829|PDB:6I4Y"	P80188; Q9H8W4; Q9Y3B1
O43719	17S U2 SnRNP complex component HTATSF1 (HIV Tat-specific factor 1) (Tat-SF1)	755	HELIX 146..154; /evidence="ECO:0007829|PDB:7Q3L"; HELIX 192..200; /evidence="ECO:0007829|PDB:7Q3L"; HELIX 241..244; /evidence="ECO:0007829|PDB:7Q3L"; HELIX 261..264; /evidence="ECO:0007829|PDB:6N3D"; HELIX 274..277; /evidence="ECO:0007829|PDB:6N3D"; HELIX 282..295; /evidence="ECO:0007829|PDB:6N3D"; HELIX 322..332; /evidence="ECO:0007829|PDB:6N3D"	STRAND 134..139; /evidence="ECO:0007829|PDB:7Q3L"; STRAND 165..174; /evidence="ECO:0007829|PDB:7EVO"; STRAND 176..178; /evidence="ECO:0007829|PDB:7EVO"; STRAND 185..190; /evidence="ECO:0007829|PDB:7Q3L"; STRAND 212..214; /evidence="ECO:0007829|PDB:7Q3L"; STRAND 265..269; /evidence="ECO:0007829|PDB:6N3D"; STRAND 301..306; /evidence="ECO:0007829|PDB:6N3D"; STRAND 315..321; /evidence="ECO:0007829|PDB:6N3D"; STRAND 343..346; /evidence="ECO:0007829|PDB:6N3D"	Q15428; O75533-1; P14678; P63162
O43761	Synaptogyrin-3	229			Q96CM8; P53367; Q08426; Q05329; P43220; C9JCN9; Q92993; Q8TAP4-4; Q504T8; Q00013; Q9ULP0-2; O60664; Q96T60; P17252; Q15047-2; Q9Y371; Q9NZD8; P49638; P61981
O43763	T-cell leukemia homeobox protein 2 (Homeobox protein Hox-11L1) (Neural crest homeobox protein)	284	HELIX 166..178; /evidence="ECO:0007829|PDB:3A03"; HELIX 184..194; /evidence="ECO:0007829|PDB:3A03"; HELIX 198..215; /evidence="ECO:0007829|PDB:3A03"		Q3LI66; P78424
O43808	Peroxisomal membrane protein PMP34 (34 kDa peroxisomal membrane protein) (Solute carrier family 25 member 17)	307			Q6FHY5; P40855
O43818	U3 small nucleolar RNA-interacting protein 2 (RRP9 homolog) (U3 small nucleolar ribonucleoprotein-associated 55 kDa protein) (U3 snoRNP-associated 55 kDa protein) (U3-55K)	475	HELIX 270..272; /evidence="ECO:0007829|PDB:4J0W"; HELIX 407..409; /evidence="ECO:0007829|PDB:4J0W"	STRAND 140..143; /evidence="ECO:0007829|PDB:4J0W"; STRAND 149..154; /evidence="ECO:0007829|PDB:4J0W"; STRAND 158..165; /evidence="ECO:0007829|PDB:4J0W"; STRAND 170..174; /evidence="ECO:0007829|PDB:4J0W"; STRAND 180..184; /evidence="ECO:0007829|PDB:4J0W"; STRAND 202..207; /evidence="ECO:0007829|PDB:4J0W"; STRAND 213..218; /evidence="ECO:0007829|PDB:4J0W"; STRAND 223..227; /evidence="ECO:0007829|PDB:4J0W"; STRAND 232..237; /evidence="ECO:0007829|PDB:4J0W"; STRAND 244..249; /evidence="ECO:0007829|PDB:4J0W"; STRAND 253..260; /evidence="ECO:0007829|PDB:4J0W"; STRAND 263..269; /evidence="ECO:0007829|PDB:4J0W"; STRAND 274..280; /evidence="ECO:0007829|PDB:4J0W"; STRAND 288..291; /evidence="ECO:0007829|PDB:4J0W"; STRAND 293..300; /evidence="ECO:0007829|PDB:4J0W"; STRAND 306..311; /evidence="ECO:0007829|PDB:4J0W"; STRAND 316..321; /evidence="ECO:0007829|PDB:4J0W"; STRAND 323..325; /evidence="ECO:0007829|PDB:4J0W"; STRAND 327..334; /evidence="ECO:0007829|PDB:4J0W"; STRAND 337..342; /evidence="ECO:0007829|PDB:4J0W"; STRAND 347..353; /evidence="ECO:0007829|PDB:4J0W"; STRAND 358..361; /evidence="ECO:0007829|PDB:4J0W"; STRAND 367..370; /evidence="ECO:0007829|PDB:4J0W"; STRAND 381..384; /evidence="ECO:0007829|PDB:4J0W"; STRAND 388..394; /evidence="ECO:0007829|PDB:4J0W"; STRAND 396..405; /evidence="ECO:0007829|PDB:4J0W"; STRAND 412..419; /evidence="ECO:0007829|PDB:4J0W"; STRAND 422..429; /evidence="ECO:0007829|PDB:4J0W"; STRAND 431..443; /evidence="ECO:0007829|PDB:4J0W"; STRAND 458..463; /evidence="ECO:0007829|PDB:4J0W"	O00567
O43823	A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95)	692			Q9UBL3; P42574; Q9C005; O15379; P49736; Q99417; P13861; Q15418; P61964
O43825	Beta-1,3-galactosyltransferase 2 (Beta-1,3-GalTase 2) (Beta3Gal-T2) (Beta3GalT2) (EC 2.4.1.86) (UDP-galactose:2-acetamido-2-deoxy-D-glucose 3beta-galactosyltransferase 2)	422			Q3T906
O43826	Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19)	429			Q13323
O43827	Angiopoietin-related protein 7 (Angiopoietin-like factor) (Angiopoietin-like protein 7) (Cornea-derived transcript 6 protein)	346			P35609
O43854	EGF-like repeat and discoidin I-like domain-containing protein 3 (Developmentally-regulated endothelial cell locus 1 protein) (Integrin-binding protein DEL1)	480	HELIX 32..34; /evidence="ECO:0007829|PDB:4D90"	STRAND 36..38; /evidence="ECO:0007829|PDB:4D90"; STRAND 47..49; /evidence="ECO:0007829|PDB:4D90"; STRAND 88..91; /evidence="ECO:0007829|PDB:4D90"; STRAND 103..106; /evidence="ECO:0007829|PDB:4D90"; STRAND 111..113; /evidence="ECO:0007829|PDB:4D90"; STRAND 133..137; /evidence="ECO:0007829|PDB:4D90"; STRAND 140..144; /evidence="ECO:0007829|PDB:4D90"	
